NameMovie,EnNameMovie,Year,Rating_runtime,IMDbRating,CustomerRating,Populary,Genre,Decribe,Director,Writter_Star,User_reviews,CriticReviews_Metascore
Sound of Metal,,2019,RR2h,7.7/10,122K,"2,104",DramaMusic,A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.,Darius Marder,WritersDarius Marder(screenplay by)Abraham Marder(screenplay by)Derek Cianfrance(story by)StarsRiz AhmedOlivia CookePaul Raci,584,272 82
Điệp Viên Ẩn Danh,Spies in Disguise,2019,PP1h 42m,6.8/10,48K,"4,340",AnimationActionAdventure,"When the world's best spy is turned into a pigeon, he must rely on his nerdy tech officer to save the world.",Nick Bruno,"DirectorsNick BrunoTroy QuaneWritersLucas Martell(inspired by: the animated short film ""Pigeon: Impossible"" by)Cindy Davis(screen story by)Brad Copeland(screenplay by)StarsRachel Brosnahan(voice)Jarrett Bruno(voice)Claire Crosby(voice)",253,132 54
Phim Lego 2,The Lego Movie 2: The Second Part,2019,PP1h 47m,6.6/10,65K,"4,131",AnimationActionAdventure,"It's been five years since everything was awesome and the citizens are facing a huge new threat: Lego Duplo invaders from outer space, wrecking everything faster than they can rebuild.",Mike Mitchell,WritersPhil Lord(screenplay by)Christopher Miller(screenplay by)Matthew Fogel(story by)StarsChris Pratt(voice)Elizabeth Banks(voice)Will Arnett(voice),428,239 65
Ich war noch niemals in New York,,2019,2h 8m,5.5/10,486,"4,190",ComedyDramaFamily,"Maria, the mother of television presenter Lisa Wartberg, has an accident with memory loss. All she can remember is that she has never been to New York. Without further ado, the elderly woman smuggles herself aboard a cruise ship.",Philipp Stölzl,WritersAlexander Dydyna(screenplay)Philipp Stölzl(writer screenplay)Jan Berger(collaboration on screenplay)StarsHeike MakatschMoritz BleibtreuKatharina Thalbach,,
Make Up,,2019,TV-MATV-MA1h 26m,5.9/10,1.5K,402,DramaMysteryThriller,"On a remote holiday park in Cornwall, a young woman is drawn into a mysterious obsession when she suspects her boyfriend has cheated on her.",Claire Oakley,WriterClaire OakleyStarsMolly WindsorJoseph QuinnStefanie Martini,36,29 81
Những Người Phụ Nữ Bé Nhỏ,Little Women,2019,C13C132h 15m,7.8/10,195K,319,DramaRomance,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",Greta Gerwig,WritersGreta Gerwig(written for the screen by)Louisa May Alcott(based on the novel by)StarsSaoirse RonanEmma WatsonFlorence Pugh,1.1K,360 91
After,,2019,PG-13PG-131h 45m,5.2/10,53K,324,DramaRomance,A young woman falls for a guy with a dark secret and the two embark on a rocky relationship. Based on the novel by Anna Todd.,Jenny Gage,WritersSusan McMartin(screenplay by)Tamara Chestna(screenplay by)Jenny Gage(screenplay by)StarsJosephine LangfordHero Fiennes TiffinKhadijha Red Thunder,940,76 30
Tu Viện Downton,Downton Abbey,2019,PGPG2h 2m,7.4/10,55K,587,DramaRomance,"The continuing story of the Crawley family, wealthy owners of a large estate in the English countryside in the early twentieth century.",Michael Engler,WriterJulian Fellowes(based on the television series created by)StarsStephen Campbell MooreMichael FoxLesley Nicol,498,186 64
Lucy Trên Bầu Trời,Lucy in the Sky,2019,RR2h 4m,4.9/10,7.8K,632,DramaRomanceSci-Fi,"Astronaut Lucy Cola returns to Earth after a transcendent experience during a mission to space, and begins to lose touch with reality in a world that now seems too small.",Noah Hawley,WritersBrian C. Brown(screenplay)Elliott DiGuiseppi(screenplay)Noah Hawley(screenplay)StarsNatalie PortmanJon HammZazie Beetz,137,78 36
Mr. Malcolm's List,,2019,11m,7.4/10,181,,ShortRomance,"A young woman courts a mysterious wealthy suitor in 1800s England, unaware of his unattainable list of conditions for a future wife.",Emma Holly Jones,WriterSuzanne AllainStarsGemma ChanFreida PintoOliver Jackson-Cohen,,
